policy,topology,poisoning_mode,final_score_mean,final_score_std,final_score_count,mean_self_bleu_mean,mean_self_bleu_std,mean_self_bleu_count,peer_contamination_rate_mean,peer_contamination_rate_std,peer_contamination_rate_count,final_score_sem,final_score_ci_low,final_score_ci_high,mean_self_bleu_sem,mean_self_bleu_ci_low,mean_self_bleu_ci_high,peer_contamination_rate_sem,peer_contamination_rate_ci_low,peer_contamination_rate_ci_high
naive_overwrite,broadcast,clean,0.2512820512820513,0.4247070382935375,26,0.9779577419597867,0.056055393675246035,26,0.0,0.0,26,0.08329190291611331,0.0797391660941314,0.42282493646997116,0.010993367161238658,0.9553164784666436,1.0,0.0,0.0,0.0
naive_overwrite,broadcast,internal,0.1713980463980464,0.3641742043785582,26,0.986373077904834,0.028799725064185943,26,0.3076923076923077,0.4706787243316417,26,0.07142043747974597,0.024304901954003255,0.31849119084208954,0.005648090772630437,0.9747406172091514,0.9980055386005166,0.09230769230769231,0.11758105666892671,0.4978035587156887
naive_overwrite,full_broadcast,clean,0.0,,1,1.0,,1,0.0,,1,,0.0,0.0,,1.0,1.0,,0.0,0.0
naive_overwrite,full_broadcast,internal,0.0,,1,1.0,,1,1.0,,1,,0.0,0.0,,1.0,1.0,,1.0,1.0
naive_overwrite,off,clean,0.37148148148148147,0.4689443327502648,18,0.93542623279937,0.1148602497457177,18,0.0,0.0,18,0.11053123922890436,0.1382809511191331,0.6046820118438299,0.027072820494659137,0.8783075743838568,0.9925448912148832,0.0,0.0,0.0
naive_overwrite,off,internal,0.2719506838374763,0.4258914330604498,9,0.9408666554675563,0.1165356064976804,9,0.0,0.0,9,0.14196381102014993,0.0,0.5993198190992848,0.03884520216589347,0.8512894586401641,1.0,0.0,0.0,0.0
raw_trajectory_buffer,broadcast,clean,0.364101083232924,0.4640252232122211,18,0.9969731248695547,0.004999954172170409,18,0.0,0.0,18,0.10937179399165431,0.13334676849377028,0.5948553979720778,0.0011785005002545557,0.9944867061556334,0.999459543583476,0.0,0.0,0.0
raw_trajectory_buffer,broadcast,internal,0.2743203780539656,0.41466166951308564,18,0.9866659911238137,0.047596997319942616,18,0.0,0.0,18,0.09773669280361265,0.0681139810510075,0.48052677505692365,0.011218719856349785,0.9629965612075405,1.0,0.0,0.0,0.0
raw_trajectory_buffer,off,clean,0.2525017561906669,0.4127168993894536,18,0.9968786500294511,0.004959669580344007,18,0.0,0.0,18,0.09727830608952291,0.04726247061776709,0.45774104176356667,0.001169005330901962,0.9944122643717441,0.999345035687158,0.0,0.0,0.0
raw_trajectory_buffer,off,internal,0.14460481114720275,0.32283263815734287,9,0.9968264463116187,0.0049555473394596525,9,0.0,0.0,9,0.10761087938578096,0.0,0.39275594400377034,0.0016518491131532174,0.993017275425954,1.0,0.0,0.0,0.0
structured_incremental,broadcast,clean,0.13577462890166597,0.22642919600626762,18,0.9965399510814285,0.0029964101181701613,18,0.0,0.0,18,0.05336987331821659,0.02317403878790919,0.24837521901542275,0.0007062606379247018,0.9950498713855245,0.9980300307773324,0.0,0.0,0.0
structured_incremental,broadcast,internal,0.0423747332208723,0.05861970268698018,19,0.9909736880764397,0.021213165896324493,19,0.05263157894736842,0.22941573387056177,19,0.013448282111207698,0.014120940930057814,0.07062852551168677,0.004866634021823257,0.9807492693982047,1.0,0.05263157894736842,0.0,0.16320642317057682
structured_incremental,full_broadcast,internal,0.0,,1,0.9088627047635262,,1,1.0,,1,,0.0,0.0,,0.9088627047635262,0.9088627047635262,,1.0,1.0
structured_incremental,off,clean,0.08584887924896027,0.07797888643668491,18,0.9965450531830822,0.0029982969673876714,18,0.0,0.0,18,0.018379799796251865,0.04707089132137297,0.12462686717654758,0.0007067053725502945,0.9950540351791372,0.9980360711870272,0.0,0.0,0.0
structured_incremental,off,internal,0.07052385502609708,0.06345023727453565,9,0.9967781813969528,0.0029704850367649085,9,0.0,0.0,9,0.021150079091511884,0.021751685181175512,0.11929602487101865,0.0009901616789216362,0.9944948644708389,0.9990614983230668,0.0,0.0,0.0
